unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1623387600000,2021-06-11 05:00:00,ETC/USDT,58.18400000,58.55000000,57.93000000,57.93000000,37620.31200000,2190982.93446600,3710
1623384000000,2021-06-11 04:00:00,ETC/USDT,58.16800000,58.41400000,57.83600000,58.17300000,37493.51300000,2178652.11516100,4358
1623380400000,2021-06-11 03:00:00,ETC/USDT,57.43300000,58.50000000,57.40900000,58.18300000,80873.33200000,4685431.81060400,7610
1623376800000,2021-06-11 02:00:00,ETC/USDT,56.98300000,57.43600000,56.24400000,57.43600000,50778.10700000,2888094.37380700,11435
1623373200000,2021-06-11 01:00:00,ETC/USDT,56.55300000,57.32700000,56.07200000,56.97200000,72458.54600000,4100823.63710800,8228
1623369600000,2021-06-11 00:00:00,ETC/USDT,57.90000000,58.55000000,56.45700000,56.56700000,114568.89900000,6580342.00129800,10458
1623366000000,2021-06-10 23:00:00,ETC/USDT,58.18900000,58.32700000,57.69600000,57.89400000,52555.33500000,3053188.73582800,4570
1623362400000,2021-06-10 22:00:00,ETC/USDT,58.16500000,58.63000000,58.02900000,58.19100000,59678.85500000,3478074.25239700,26942
1623358800000,2021-06-10 21:00:00,ETC/USDT,58.34800000,58.35500000,57.59900000,58.15400000,84657.00600000,4905972.33015800,24696
1623355200000,2021-06-10 20:00:00,ETC/USDT,57.99900000,58.37500000,57.00500000,58.33200000,134946.27100000,7763988.54916200,27771
1623351600000,2021-06-10 19:00:00,ETC/USDT,58.39800000,58.60300000,57.50100000,58.00500000,75662.14800000,4387582.80814300,46372
1623348000000,2021-06-10 18:00:00,ETC/USDT,57.90700000,58.66300000,57.84600000,58.43100000,53137.82300000,3097117.55277100,5356
1623344400000,2021-06-10 17:00:00,ETC/USDT,58.28000000,58.61700000,57.41200000,57.90800000,99371.70300000,5762375.68726900,11966
1623340800000,2021-06-10 16:00:00,ETC/USDT,58.91100000,59.25200000,58.02100000,58.26800000,76445.05600000,4470563.06613500,8606
1623337200000,2021-06-10 15:00:00,ETC/USDT,59.17300000,59.59000000,58.38500000,58.89700000,63402.03400000,3736846.87967300,7421
1623333600000,2021-06-10 14:00:00,ETC/USDT,59.85200000,60.60100000,58.68000000,59.17100000,115606.60200000,6870907.51957600,10361
1623330000000,2021-06-10 13:00:00,ETC/USDT,59.75900000,59.95000000,59.29500000,59.84600000,57741.05300000,3444042.48511100,5636
1623326400000,2021-06-10 12:00:00,ETC/USDT,59.98000000,60.13400000,59.20700000,59.77000000,86036.97800000,5135809.92825300,8235
1623322800000,2021-06-10 11:00:00,ETC/USDT,60.16200000,60.57900000,59.75800000,59.99100000,75773.52600000,4560807.39470200,25155
1623319200000,2021-06-10 10:00:00,ETC/USDT,59.93900000,61.27700000,59.78800000,60.17900000,183148.49900000,11117803.11134500,38527
1623315600000,2021-06-10 09:00:00,ETC/USDT,58.74100000,60.14100000,58.22500000,59.93700000,152634.46300000,9042218.86149900,15479
1623312000000,2021-06-10 08:00:00,ETC/USDT,60.34000000,60.36100000,58.64100000,58.73500000,145418.39600000,8634678.28067400,10478
1623308400000,2021-06-10 07:00:00,ETC/USDT,59.91100000,60.47400000,59.70600000,60.35200000,50181.74100000,3019580.39730600,5384
1623304800000,2021-06-10 06:00:00,ETC/USDT,60.33500000,60.35800000,59.34500000,59.93300000,130245.76300000,7790627.43834800,9449
1623301200000,2021-06-10 05:00:00,ETC/USDT,60.80000000,60.92800000,59.87200000,60.30800000,124467.65600000,7516876.26730300,27846
1623297600000,2021-06-10 04:00:00,ETC/USDT,61.44700000,62.08200000,60.63900000,60.80400000,73404.35200000,4495372.83283600,27270
1623294000000,2021-06-10 03:00:00,ETC/USDT,61.99400000,62.75900000,61.44000000,61.44600000,94956.46600000,5895238.93133900,7525
1623290400000,2021-06-10 02:00:00,ETC/USDT,61.40700000,62.03700000,61.07600000,61.99500000,91767.91100000,5654025.30424100,8224
1623286800000,2021-06-10 01:00:00,ETC/USDT,60.85000000,63.56000000,60.85000000,61.39600000,212860.70900000,13283381.40734200,20926
1623283200000,2021-06-10 00:00:00,ETC/USDT,62.30600000,63.07600000,60.32200000,60.83400000,369043.95400000,22614308.66980000,24647
1623279600000,2021-06-09 23:00:00,ETC/USDT,61.50600000,62.38500000,61.18000000,62.32000000,79060.70200000,4892586.18694900,5788
