unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1625241600000,2021-07-02 16:00:00,DOT/USDT,15.27100000,15.27300000,15.12000000,15.19800000,318287.97100000,4835492.39743600,6558
1625238000000,2021-07-02 15:00:00,DOT/USDT,15.28000000,15.32100000,15.11900000,15.26500000,356954.76100000,5431699.52578400,8408
1625234400000,2021-07-02 14:00:00,DOT/USDT,15.08700000,15.30000000,14.98400000,15.28000000,507192.98200000,7687567.05836000,12516
1625230800000,2021-07-02 13:00:00,DOT/USDT,14.92200000,15.14000000,14.86200000,15.08700000,563291.50200000,8463979.86147200,12178
1625227200000,2021-07-02 12:00:00,DOT/USDT,14.79300000,14.93900000,14.73300000,14.91900000,350105.12600000,5193405.77512200,8319
1625223600000,2021-07-02 11:00:00,DOT/USDT,14.77200000,14.90000000,14.69800000,14.79300000,336640.46700000,4983608.99133600,8231
1625220000000,2021-07-02 10:00:00,DOT/USDT,14.72900000,14.84700000,14.65700000,14.77200000,316499.04500000,4660331.08303000,7310
1625216400000,2021-07-02 09:00:00,DOT/USDT,14.93000000,14.94000000,14.67100000,14.72700000,378343.40100000,5585038.94262100,9493
1625212800000,2021-07-02 08:00:00,DOT/USDT,14.96600000,15.07600000,14.89400000,14.93100000,402433.77500000,6024670.27605400,9293
1625209200000,2021-07-02 07:00:00,DOT/USDT,14.76000000,15.00000000,14.69000000,14.97000000,397466.50400000,5909591.00968800,8055
1625205600000,2021-07-02 06:00:00,DOT/USDT,14.73600000,14.80900000,14.62200000,14.75700000,372786.61100000,5481353.80670500,8763
1625202000000,2021-07-02 05:00:00,DOT/USDT,14.87100000,14.90300000,14.64300000,14.73600000,327175.92400000,4832528.07732300,8707
1625198400000,2021-07-02 04:00:00,DOT/USDT,14.74900000,14.95100000,14.72400000,14.86800000,296687.82000000,4405632.66616600,8339
1625194800000,2021-07-02 03:00:00,DOT/USDT,15.08600000,15.09000000,14.68900000,14.75200000,545413.74600000,8110641.80758700,14898
1625191200000,2021-07-02 02:00:00,DOT/USDT,15.03700000,15.17200000,15.00200000,15.08900000,283795.78700000,4279650.93024400,8142
1625187600000,2021-07-02 01:00:00,DOT/USDT,15.44900000,15.45500000,15.01100000,15.03100000,284529.38600000,4318400.73226000,7651
1625184000000,2021-07-02 00:00:00,DOT/USDT,15.17300000,15.45000000,15.14300000,15.44900000,374010.22600000,5739808.28576200,9795
1625180400000,2021-07-01 23:00:00,DOT/USDT,15.31200000,15.33800000,15.13200000,15.17400000,262352.44800000,3993641.40678800,7448
1625176800000,2021-07-01 22:00:00,DOT/USDT,15.28800000,15.36000000,15.24200000,15.31000000,233070.58000000,3568127.08171200,6509
1625173200000,2021-07-01 21:00:00,DOT/USDT,15.05500000,15.30800000,15.01000000,15.29000000,308073.30000000,4673957.16461900,8948
1625169600000,2021-07-01 20:00:00,DOT/USDT,14.99200000,15.14900000,14.91700000,15.05700000,498328.78400000,7499947.17826900,12036
1625166000000,2021-07-01 19:00:00,DOT/USDT,15.37000000,15.40600000,14.85000000,14.99200000,910492.25100000,13686859.87603200,21255
1625162400000,2021-07-01 18:00:00,DOT/USDT,15.37800000,15.53300000,15.32900000,15.37200000,306552.25300000,4728257.34789400,7825
1625158800000,2021-07-01 17:00:00,DOT/USDT,15.16100000,15.41000000,15.11900000,15.37700000,335448.22400000,5126258.82166400,8863
1625155200000,2021-07-01 16:00:00,DOT/USDT,15.36500000,15.42000000,15.13700000,15.15800000,371372.85600000,5670182.40199100,9731
1625151600000,2021-07-01 15:00:00,DOT/USDT,15.25900000,15.51600000,15.22600000,15.36600000,334338.17500000,5148389.30650500,9041
