unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1629500400000,2021-08-20 23:00:00,SOL/USDT,78.02700000,78.93200000,77.58800000,78.64300000,160671.50400000,12581655.94087000,17213
1629496800000,2021-08-20 22:00:00,SOL/USDT,79.56300000,79.76700000,77.21800000,77.99800000,247473.49700000,19404414.95484700,30153
1629493200000,2021-08-20 21:00:00,SOL/USDT,78.64300000,80.00000000,78.04600000,79.57800000,337972.06800000,26802614.06751000,47235
1629489600000,2021-08-20 20:00:00,SOL/USDT,78.22200000,79.11200000,77.63600000,78.64300000,333467.83800000,26138472.10541600,47865
1629486000000,2021-08-20 19:00:00,SOL/USDT,76.23200000,78.33000000,76.07000000,78.22400000,274947.98600000,21242670.13546000,47866
1629482400000,2021-08-20 18:00:00,SOL/USDT,75.71400000,77.48900000,75.16900000,76.23100000,253638.28400000,19343467.56676400,39587
1629478800000,2021-08-20 17:00:00,SOL/USDT,76.32400000,77.52900000,74.70100000,75.69700000,457483.03100000,34855484.62273400,63588
1629475200000,2021-08-20 16:00:00,SOL/USDT,73.33100000,76.44000000,72.93100000,76.36400000,464469.82700000,34684799.40931100,70385
1629471600000,2021-08-20 15:00:00,SOL/USDT,73.17100000,73.94100000,72.45000000,73.35000000,250896.80500000,18411648.54776700,21747
1629468000000,2021-08-20 14:00:00,SOL/USDT,72.10000000,74.22000000,72.04000000,73.16700000,559842.75400000,41060195.85154300,56249
1629464400000,2021-08-20 13:00:00,SOL/USDT,71.95500000,72.20000000,71.76800000,72.10000000,171904.87300000,12370325.36361400,15503
1629460800000,2021-08-20 12:00:00,SOL/USDT,71.51800000,72.34700000,71.37100000,71.97100000,156622.88200000,11261689.60215400,13989
1629457200000,2021-08-20 11:00:00,SOL/USDT,71.71600000,71.72700000,71.15400000,71.49400000,155628.25300000,11115568.68741600,12987
1629453600000,2021-08-20 10:00:00,SOL/USDT,71.80000000,72.41900000,71.30900000,71.72700000,145157.87600000,10434623.61606700,13805
1629450000000,2021-08-20 09:00:00,SOL/USDT,71.43200000,72.38500000,70.95000000,71.80000000,234094.77200000,16740816.44496600,64208
1629446400000,2021-08-20 08:00:00,SOL/USDT,71.22200000,71.69900000,70.87300000,71.43100000,127138.24800000,9050970.95816100,22402
1629442800000,2021-08-20 07:00:00,SOL/USDT,71.80000000,71.87600000,71.00700000,71.21200000,126382.07300000,9024095.18397300,13906
1629439200000,2021-08-20 06:00:00,SOL/USDT,72.00000000,72.60000000,71.05200000,71.81800000,275769.77800000,19745375.02280700,21341
1629435600000,2021-08-20 05:00:00,SOL/USDT,71.89500000,72.30100000,71.28800000,71.99700000,164785.19000000,11826943.17826400,20399
1629432000000,2021-08-20 04:00:00,SOL/USDT,72.38000000,72.47000000,71.26600000,71.89500000,177183.59000000,12737521.70209700,18560
1629428400000,2021-08-20 03:00:00,SOL/USDT,73.00300000,73.16500000,72.01300000,72.38800000,121569.91800000,8802688.36218600,13937
1629424800000,2021-08-20 02:00:00,SOL/USDT,73.64000000,73.90000000,72.93100000,73.02500000,96265.34200000,7059724.66966800,13270
1629421200000,2021-08-20 01:00:00,SOL/USDT,72.44300000,74.15800000,72.21300000,73.61400000,157473.64300000,11562634.45014500,45152
1629417600000,2021-08-20 00:00:00,SOL/USDT,72.80000000,73.54300000,71.81300000,72.40700000,254236.69000000,18460684.41091300,47806
1629414000000,2021-08-19 23:00:00,SOL/USDT,73.70900000,74.42300000,72.34100000,72.76400000,167815.78700000,12282253.38993500,21819
1629410400000,2021-08-19 22:00:00,SOL/USDT,74.42900000,74.84600000,72.45000000,73.69900000,170384.53000000,12564208.88770500,23769
1629406800000,2021-08-19 21:00:00,SOL/USDT,72.76300000,74.71700000,72.75700000,74.38700000,258693.02700000,19101602.32593100,38863
1629403200000,2021-08-19 20:00:00,SOL/USDT,72.33300000,73.00100000,71.00000000,72.76300000,231802.91300000,16695427.42543600,29047
1629399600000,2021-08-19 19:00:00,SOL/USDT,73.50000000,73.66300000,72.17200000,72.33000000,206179.00500000,15031363.11759800,21948
